name,carbohydrates (g),protein (g),fat (g),calories (kcal/100g),sugar (g),wiki
Apple,13.81,0.26,0.17,52,10.39,https://en.wikipedia.org/wiki/Apple
Banana,22,1,0.2,89,17.2,https://en.wikipedia.org/wiki/Banana
Blueberry,5.5,0,0.4,57,5.4,https://en.wikipedia.org/wiki/Blueberry
Cherry,12,1,0.3,50,8,https://en.wikipedia.org/wiki/Cherry
Lemon,9,1.1,0.3,29,2.5,https://en.wikipedia.org/wiki/Lemon
Mango,15,0.82,0.38,60,13.7,https://en.wikipedia.org/wiki/Mango
Orange,8.3,1,0.2,43,8.2,https://en.wikipedia.org/wiki/Orange_(fruit)
Pear,15,0.4,0.1,57,10,https://en.wikipedia.org/wiki/Pear
Pineapple,13.12,0.54,0.12,50,9.85,https://en.wikipedia.org/wiki/Pineapple
Raspberry,12,1.2,0.7,53,4.4,https://en.wikipedia.org/wiki/Raspberry
Strawberry,5.5,0.8,0.4,29,5.4,https://en.wikipedia.org/wiki/Strawberry
Tomato,3.9,0.9,0.2,74,2.6,https://en.wikipedia.org/wiki/Tomato
Watermelon,8,0.6,0.2,30,6,https://en.wikipedia.org/wiki/Watermelon
Melon,14,1.5,0.3,60,14,https://en.wikipedia.org/wiki/Melon
Grape,8.9,0.4,0.1,34,7.6,https://en.wikipedia.org/wiki/Grape
Persimmon,31,1,0.3,118,21,https://en.wikipedia.org/wiki/Persimmon
Kiwi,10,0.8,0.4,42,6.2,https://en.wikipedia.org/wiki/Kiwi
Guava,24,4.2,1.6,112,15,https://en.wikipedia.org/wiki/Guava
Plum,7.5,0.5,0.2,30,6.5,https://en.wikipedia.org/wiki/Plum
Cantaloupe,45,4.6,1,188,43,https://en.wikipedia.org/wiki/Cantaloupe
Pomegranate,53,4.7,3.3,234,39,https://en.wikipedia.org/wiki/Pomegranate
Papaya,16,0.7,0.4,62,11,https://en.wikipedia.org/wiki/Papaya
Apricot,3.9,0.5,0.1,17,3.2,https://en.wikipedia.org/wiki/Apricot
Cranberry,13,0.5,0.1,51,4.7,https://en.wikipedia.org/wiki/Cranberry
Honeydew,116,6.9,1.8,461,104,https://en.wikipedia.org/wiki/Honeydew_(melon)
Nectarine,16,1.7,0.5,69,12,https://en.wikipedia.org/wiki/Peach#Nectarines
Raisins,34,1.3,0.2,129,25,https://en.wikipedia.org/wiki/Raisin
Avocado,17,4,29,322,1.3,https://en.wikipedia.org/wiki/Avocado
Jackfruit,38,2.8,1.1,157,31,https://en.wikipedia.org/wiki/Jackfruit
Minneola,11,0.7,0.2,44,5.8,https://en.wikipedia.org/wiki/Tangelo
Fig,9.6,0.4,0.1,37,8.1,https://en.wikipedia.org/wiki/Common_fig
Starfruit,6.1,0.9,0.3,28,3.6,https://en.wikipedia.org/wiki/Carambola
Jujube,20.23,1.2,0.2,79,10,https://en.wikipedia.org/wiki/Jujube
Date,5.3,0.2,0,20,4.5,https://en.wikipedia.org/wiki/Date_palm#Fruits
Lime,7.1,0.5,0.1,20,1.1,https://en.wikipedia.org/wiki/Lime_(fruit)
Passion Fruit,55,5.2,1.7,229,26,https://en.wikipedia.org/wiki/Passiflora_edulis
